paper_id,equation_id,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.15,5,P^{S}_{x}=softmax(W^{S}h_{[1:-1]}+b^{ S}) || P^{S}_{x^{\prime}}=softmax(W^{S}h^{\prime}_{[1:-1]}+b^{S}),,P^{S}_{x}=softmax(W^{S}h_{[1:-1]}+b^{S}),"where \(\mathbf{P}^{S}_{\mathbf{x}}\) is the predicted slot sequence for the input sentence \(\mathbf{x}\), \(\mathbf{W}^{S}\) is the weight matrix for the slot filling task, and \(\mathbf{b}^{S}\) is the bias term."
2024.acl-short.15,6,"L_{I}=CE(P^{I}_{x},P^{I}) || L_{S}=\frac{1}{L}\sum_{i=1}^{L}CE(P^{S}_{[x,i]},P^{S}_{i})",,"L_{I}=-\sum_{k}y_{k}\log(P^{I}_{x}[k]),\quadL_{S}=-\sum_{l}y_{l}\log(P^{S}_{x}[l])","where \(y_{k}\) and \(y_{l}\) are the ground truth labels for intent and slot filling tasks, respectively."
2024.acl-short.15,7,L_{PLA}=\underbrace{KL(P^{I}_{x^{\prime}} || P^{I}_{x})}_{Intent PLA}+\underbrace{KL(P^{S}_{x^{\prime}} || P^{S}_{x}) }_{Slot PLA},"where \(\mathrm{KL}(\cdot)\) denotes Kullback-Leibler divergence (Kullback and Leibler, 1951) to measure the difference between two distributions",L_{PLA}=KL(P^{I}_{x}\|P^{I}_{x^{\prime}})+KL(P^{S}_{x}\|P^{S}_{x^{\prime}}),"where \(\mathrm{KL}(\cdot)\) denotes Kullback-Leibler divergence (Kullback and Leibler, 1951) to measure the difference between two distributions"
2024.acl-short.15,8,"L_{SD}=\underbrace{KL(P^{[I,t-1]}_{ kT} || P^{[I,t]}_{latent SD})}_{Intent SD}+\underbrace{\frac{1}{L}\sum_{i=1}^{L}KL(P^{[S,t-1]}_{[x,i]} || P^{[S,t]}_{[x,i]}) }_{Slot SD}","where \(\mathbf{P}^{[I,t]}_{\mathbf{x}}\) denotes the probability distribution of intent, \(\mathbf{P}^{[S,t]}_{[\mathbf{x},i]}\) of slot at \(i\)-th token","L_{SD}=KL(P^{[I,t]}_{x} || P^{[I,t-1]}_{x})+\frac{1}{L}\sum_{i=1}^{L}KL(P^{[S,t]}_{[x,i]} || P^{[S,t-1]}_{[x,i]})","where \(\mathbf{P}^{[I,t]}_{\mathbf{x}}\) denotes the probability distribution of intent, \(\mathbf{P}^{[S,t]}_{[\mathbf{x},i]}\) of slot at \(i\)-th token"
2024.acl-short.15,9,L=L_{I}+L_{S}+L_{RLA}+L _{PLA}+L_{SD},,L_{total}=L_{RLA}+L_{PLA}+L_{SD}+L_{I}+L_{S},"where \(\mathcal{L}_{\text{total}}\) represents the overall loss function combining representation-level alignment, prediction-level alignment, self-distillation, intent loss, and slot filling loss."
2024.acl-short.16,1,Y=W_{0}^{l}X+\Lambda_{b}^{l}B^{l}\Lambda_{d}^{l}A^{l}X,,Y=lora_{B}\cdot (s_{b}\odot (lora_{A}\cdot (s_{d}\odot X))),"The output \(Y\) is computed by applying the up-projection layer \(lora_{B}\) to the result of the down-projection layer \(lora_{A}\), which processes the input \(X\) after being transformed by the feature vectors \(s_{d}\) and \(s_{b}\)."
2024.acl-short.16,2,"I_{A^{l}}=|\nablaL(\theta)|,\overline{T}^{(t)}_{A^{l }}=\beta_{1}\overline{T}^{(t-1)}_{A^{l}}+(1-\beta_{1})I^{(t)}_{A^{l}} || U^{(t)}_{A^{l}}=|I^{(t)}_{A^{l}}-\overline{I}^{(t)}_{A^{l}}|,\overline{U}^{(t)}_{A^{l}}=\beta_{2}\overline{U}^{(t-1)}_{A^{l}}+(1-\beta_{2} )U^{(t)}_{A^{l}} || s^{(t)}_{A^{l}}=mean(\overline{T}^{(t)}_{A^{l}}\circ\overline{U}^{(t)}_{A^{l}})",,FS(A^{l})=\frac{1}{n}\sum_{i=1}^{n} |\nabla A_{i}^{l}|,FS(A^{l})
2024.acl-short.16,3,r(t)=\{{ll}0&0\leq t<t_{i}\\1-(1-\frac{t-t_{i}}{T-t_{i}-t_{f}})^{3}&t_{i}\leq t<T-t_{f}\\1&otherwise,"where \(t\) refers to current #step, \(T\) is the total number of fine-tuning steps",r(t)=\left(1-\left(\frac{t-t_{i}}{T-t_{i}-t_{f}}\right)^{3}\right)_{+},"where \(t\) refers to current step, \(T\) is the total number of fine-tuning steps"
2024.acl-short.20,1,"E(h,r,t)=\sum_{i=1}^{k}w_{i}(q)M_{i}(h,r,t)","where \(\mathtt{E}(\mathtt{h},\mathbf{r},\mathbf{t})\) is the ensemble score for \(\mathbf{t}\) given query \(\mathtt{q}=(\mathbf{h},\mathbf{r},?)\)","E(h,r,t)=\sum_{i=1}^{k}\alpha_i\cdotM_{i}(h,r,t)",where \(\alpha_i\) represents the weight assigned to the \(i\)-th model \(\mathtt{M}_{i}\).
2024.acl-short.20,2,"M_{i}(h,r,t)\getsM_ {i}(h,r,t)-\min_{t^{\prime}\inE}M_{i}(h,r,t^{\prime}) || M_{i}(h,r,t)arrow\frac{M_{i}(h,r,t)}{\max_{t^{\prime}\inE}M_{i}(h,r,t^{\prime})}",,"M_{i}^{norm}(h,r,t)=\frac{M_{i}(h,r,t)-\min_{t'\inE}M_{i}(h,r,t')}{\max_{t'\inE}M_{i}(h,r,t')-\min_{t'\inE}M_{i}(h,r,t')}","where \(\mathtt{M}_{\mathtt{i}}^{\text{norm}}(\mathbf{h},\mathbf{r},\mathbf{t})\) is the normalized score for model \(\mathtt{M}_{\mathtt{i}}\)"
2024.acl-short.20,3,"f(M_{i},q)=\underset{t^{\prime}\inE}{mean}(M_{i}(h,r,t^{\prime})) || \underset{t^{\prime}\inE}{ var}(M_{i}(h,r,t^{\prime}))",,"f_{i}(h,r)=\left[\min_{t^{\prime}\inE}M_{i}(h,r,t^{\prime}),\max_{t^{\prime}\inE}M_{i}(h,r,t^{\prime}),mean_{t^{\prime}\inE}M_{i}(h,r,t^{\prime})\right]","where \(\mathbf{f}_{\mathtt{i}}(\mathbf{h},\mathbf{r})\) represents the feature vector extracted from the score distribution of model \(\mathtt{M}_{\mathtt{i}}\) for the query \(\mathbf{q}=(\mathbf{h},\mathbf{r},?)\)"
2024.acl-short.20,4,"w_{1}(q)=MLP_{1}(f(M_{1},q) || f(M_{2},q) ||  || f(M_ {k},q))",,"f=f(M_{1},q)\\f(M_{2},q)\\\vdots\\f(M_{k},q)",where \(\mathbf{f}\) is the concatenated feature vector for all models \(\mathtt{M}_{\mathtt{i}}\) used to learn the query-dependent weights \(\mathtt{w}_{\mathtt{i}}\).
2024.acl-short.20,5,"L=\sum_{t\inN}\max(E(h,r,t)-E(h,r,t^{*})+m,0)",where \(\mathtt{m}\) is the margin hyperparameter,"L(q)=\max(0,M_{1}(h,r,t^{*})-\max_{t\inN}M_{1}(h,r,t)+m)",where \(\mathtt{m}\) is the margin hyperparameter
2024.acl-short.25,1,"s_{i}=\sigma(\frac{1}{\beta_{i}}(log\frac{\mu_{i}}{1-\mu_{i}}+\textit{log}\alpha_{i})) || m_{i}=min(1,max(0,s_{i}(\zeta-\gamma)+\gamma))",,"m_{i}\simHardConcrete(\log\alpha_{i},\beta_{i})",Mask \(m_{i}\) corresponding to each neuron as an independent random variable following a hard concrete distribution.
2024.acl-short.25,2,"min(1,max(0,\sigma(log\alpha_{i})(\zeta-\gamma)+\gamma))",,"m_{i}=min(1,max(0,s_{i}(\zeta-\gamma)+\gamma))","Here, \(m_{i}\) is the approximately discrete activation value of the mask score \(s_{i}\), where \(\gamma\) and \(\zeta\) are constants."
2024.acl-short.25,3,"L_{m}(f(m\odot\theta),x)=\sum_{i=1}^{I}log(P(x_{p+i}|x_{<p+i}))",,"L_{PII}=-\sum_{t=1}^{T}\log P(x_{t} | x_{1},\ldots, x_{t-1}, m)","where \(\mathcal{L}_{PII}\) is the training objective for PII localization, \(P(x_{t} | x_{1}, \ldots, x_{t-1}, m)\) is the probability of token \(x_{t}\) given the previous tokens and the mask \(m\)."
2024.acl-short.25,4,"L_{adv}(f(m\odot\theta),x)=-\sum_{t=1}^{T}log(P(x_{t}|x_{<t}))",,"L_{adv}(f(m\odot\theta),x)=-\sum_{t=1}^{T}log(P(x_{t}|x_{<t}))","Adversarial loss for the language model, where \(P(x_{t}|x_{<t})\) is the probability of token \(x_{t}\) given the preceding tokens."
2024.acl-short.25,5,R(m)=-\frac{1}{|m|}\sum_{i=1}^{|m|}\sigma(log\alpha_{i}-\beta_{i}log \frac{-\gamma}{\zeta}),,L_{0}(m)=\sum_{i=1}^{N}I(m_{i}=0),"\(\mathcal{L}_{0}(m)\) is the \(L_{0}\) complexity of the mask scores, where \(\mathbb{I}\) is the indicator function that counts the number of neurons with zero mask scores."
2024.acl-short.3,1,"\Delta(G_{1},G_{2})=\min_{ops}\sum_{i=1}^{n}w(op_{i})",,"\Delta(G_{1}, G_{2})=APTED(G_{1}, G_{2})",Tree edit distance between the predicted code's AST \(G_{1}\) and the ground-truth AST \(G_{2}\).
2024.acl-short.3,2,"TSED=\max\{1-\frac{\delta}{MaxNodes(G_{1},G_{2})},0\}",,"N=\max(|G_{1}|, |G_{2}|)+\alpha\cdot\Delta(G_{1}, G_{2})","Where \(N\) is the normalized tree edit distance, \(|G_{1}|\) and \(|G_{2}|\) are the number of nodes in the respective ASTs, and \(\alpha\) is a scaling factor."
2024.acl-short.39,1,"Bio(m,co(m))=f_{gen}(m,co(m))",where biography is generated by the model \(f_{gen}\) given the personal attribute of interest (\(m\)) and the co-occurring attributes (\(co(m)\)),"b=f_{gen}(m, co(m))","where \(b\) represents the generated biography, \(f_{gen}\) is the generation model, \(m\) is the personal attribute of interest, and \(co(m)\) denotes the co-occurring attributes."
2024.acl-short.39,2,"Bio(\phi,co(m))=f_{gen}(\phi,co(m))",,"S_{true}(m)=\frac{1}{N}\sum_{i=1}^{N} S(Bio(m, co(m))_i)","where \(S_{true}(m)\) is the semantic score for biographies generated with the true attribute \(m\), \(N\) is the number of generated biographies, and \(S(Bio(m, co(m))_i)\) is the semantic score of the \(i\)-th generated biography."
2024.acl-short.39,3,"Bio(f,co(m))=f_{gen}(f,co(m)),do(m\to f)","where \(do(m\to f)\) denotes the do operator (Pearl, 2009), e","Bio(do(m\to f), co(m))=f_{gen}(do(m\to f), co(m))","where \(do(m \to f)\) denotes the do operator, indicating the manipulation of the personal attribute \(m\) to a different attribute \(f\) while keeping the co-occurring attributes \(co(m)\) unchanged."
2024.acl-short.40,1,"L_{e}=\frac{1}{N}\sum_{i=1}^{N}(\cos(S_{1,i},S_{2,i})-\cos(E_{1,i},E_{2,i}))^{2}","where \(N\) is the batch size, and \(S\) and \(E\) contain the target text SEM vectors and the predicted output SEM vectors respectively",L=\frac{1}{N}\sum_{i=1}^{N} (S_i-E_i)^2,"where \(N\) is the batch size, and \(S\) and \(E\) contain the target text SEM vectors and the predicted output SEM vectors respectively."
2024.acl-short.40,2,"L_{o}=CE(T,O)=-\frac{1}{N}\sum_{i=1}^{N}\sum_{j=1}^{M} (T_{ij}\cdot\log(O_{ij}))","where \(N\) is the batch size, \(M\) the vocabulary size, \(T\) is the target text and \(O\) is the output text","L_{t}=-\frac{1}{N}\sum_{i=1}^{N}\sum_{j=1}^{M}T_{i,j}\log(O_{i,j})","where \(N\) is the batch size, \(M\) the vocabulary size, \(T\) is the target text and \(O\) is the output text"
2024.acl-short.41,1,E(y)=h(\beta+\sum_{j=1}^{J}f_{j}(x_{j})),"where \(h(\cdot)\) is the activation function used in the output layer, e",y=h\left(\sum_{i=1}^{n} w_i x_i+b\right),"where \(y\) is the output of the model, \(w_i\) are the weights, \(x_i\) are the input features, and \(b\) is the bias term."
2024.acl-short.41,2,h(E[y])=\beta+\sum_{j=1}^{J}f_{j}(x_{j(tab)})+\sum_{k=1}^{ K}f_{k}(x_{k(top)}),,E(y)=h\left(\beta+\sum_{j=1}^{J}f_{j}(x_{j(tab)})+\sum_{k=1}^{K}f_{k}(x_{k(top)})\right),"where \(f_{k}:\mathbb{R}\rightarrow\mathbb{R}\) represents the shape-functions for the \(k\)-th topic, and \(K\) is the number of topics."
2024.acl-short.43,1,P(c|s)=\frac{\exp(b_{c}\cdot\frac{1}{T}\sum_{t=1}^{T}x_{t})}{\sum_{c^{\prime}=1}^{N}\exp(b_{c^{\prime}}\cdot\frac{1}{T}\sum_{t=1}^ {T}x_{t})},,P(c|s)=\frac{e^{z_c}}{\sum_{j=1}^{N} e^{z_j}},Where \(z_c\) represents the logit for language \(c\) computed from the feature embeddings.
2024.acl-short.43,2,"V_{c,t}(s)=b_{c}\cdotx_{t}",,"V(s)=V_{1,1}(s) &V_{1,2}(s) &\cdots &V_{1,W}(s)\\V_{2,1}(s) &V_{2,2}(s) &\cdots &V_{2,W}(s)\\\vdots &\vdots &\ddots &\vdots\\V_{N,1}(s) &V_{N,2}(s) &\cdots &V_{N,W}(s)",\mathbf{V}(s) is the \(N \times W\) matrix representing the logits for each language \(c\) and word-level feature \(\mathbf{x}_{t}\) in the sentence \(s\).
2024.acl-short.49,1,CEF=\frac{\sum_{i=0}^{n}(I_{i}-\overline{I} )(M_{i}-\overline{M})}{\sqrt{\sum_{i=1}^ {n}(I_{i}-\overline{I})^{2}}\sqrt{\sum_{i=1}^ {n}(M_{i}-\overline{M})^{2}}},where \(\overline{x}=\frac{1}{n}\sum_{i=1}^{n}x_{i}\) (the sample mean),r=\frac{\sum_{i=1}^{n}(I_i-\overline{I})(M_i-\overline{M})}{\sqrt{\sum_{i=1}^{n}(I_i-\overline{I})^2}\sqrt{\sum_{i=1}^{n}(M_i-\overline{M})^2}},"where \(r\) is the Pearson correlation coefficient, \(I_i\) is the prediction impact for intervention \(i\), \(M_i\) is the mention importance for intervention \(i\), and \(\overline{I}\) and \(\overline{M}\) are the sample means of prediction impacts and mention importances, respectively."
2024.acl-short.49,2,"TVD(P,Q)=\frac{1}{2}\sum_{x}|P(x)-Q(x)|",where P and Q are probability distributions over discrete classes,"TVD(P, Q)=\frac{1}{2}\sum_{i} |P(i)-Q(i)|",where \(P\) and \(Q\) are probability distributions over discrete classes
2024.acl-short.49,3,CCT=\frac{E_{M}(TVD)-E_{-M}(TVD)}{STD(TVD)}\sqrt{\frac{|M || \neg M|}{|M\cup\neg M|^{2}}},"where \(M\) indicates that the explanation mentions the IA, and \(|M|\) indicates the number of examples with explanation mentions",CCT=\frac{\sum_{i=1}^{n}(I_{i}-\overline{I})M_{i}}{\sqrt{\sum_{i=1}^{n}(I_{i}-\overline{I})^{2}}|M|},"where \(M\) indicates that the explanation mentions the IA, and \(|M|\) indicates the number of examples with explanation mentions"
2024.acl-short.5,1,"s_{ori}(x_{i}|x_{<i})= || \{{ll}\log P_{M_{e}}(x_{i}|x_{<i})-\log P_{M_{a}}(x_{i}|x_{<i}),&x_{i}\inV_{ori,i}^{\alpha}\\-\infty,&x_{i}\notinV_{ori,i}^{\alpha}\\s_{imp}(x_{i}|x_{<i})=\\\{{ll}(1+\beta)Y_{M_{a}}(x_{i}|x_{<i})-\beta Y_{M_{a}}(x_{i}|x_{<i}),&x_{i}\inV_{imp,i}^{\alpha}\\-\infty,&x_{i}\notinV_{imp,i} || s_{int}(x_{i}|x_{<i})= || \{{ll}(1+\beta)Y_{M_{e}}(x_{i}|x_{< i})-\beta Y_{M_{a}}(x_{i}|x_{<i}),&x_{i}\inV_{imp,i}^{\alpha}\\-\infty,&x_{i}\notinV_{imp,i}",,s_{ori}(x_{i}|x_{<i})=\log\frac{p_{amateur}(x_{i}|x_{<i})}{p_{expert}(x_{i}|x_{<i})},"The contrastive logit score for the original contrastive decoding, where \(p_{\text{amateur}}(x_{i}|x_{<i})\) is the probability of the token \(x_{i}\) given the preceding tokens \(x_{<i}\) from the amateur language model, and \(p_{\text{expert}}(x_{i}|x_{<i})\) is the corresponding probability from the expert language model."
2024.acl-short.5,2,"V_{ori,i}^{\alpha}=\{w|P_{M_{e}}(w|x_{<i})>\alpha\max_{w\inV}P_{M_{e}}(w|x_{<i})\} || V_{imp,i}^{\alpha}=\{w|Y_{M_{e}}(w| x_{<i})>\log\alpha+\max_{w\inV}Y_{M_{e}}(w|x_{<i})\}",,"V_{ori,i}^{\alpha}=\{x_{j}\inV\mid Y_{M_{e}}(x_{j}|x_{<i})\geq\alpha\}","The adaptive plausibility constraints for original and improved contrastive decoding, respectively."
2024.acl-short.53,1,"L_{FT}=\frac{1}{|D_{M}|}\sum_{d\inD_{M}}L(d;\Phi _{0},\Delta\Phi)","where \(\mathcal{D}_{M}\) is the KE dataset and \(d\) is a fact edit example, \(L\) is the cross entropy loss function applied to autoregressive models, \(\Phi_{0}\) denotes the set of original weights of the language model that are kept frozen, and \(\Delta\Phi\) denotes the additional parameters used by the PEFT adapters","L=\sum_{d\inD_{M}} L(\Phi_{0}, d)+\lambda\|\Delta\Phi\|^2","where \(L\) is the total loss function, \(\mathcal{D}_{M}\) is the KE dataset, \(d\) is a fact edit example, \(\Phi_{0}\) denotes the set of original weights of the language model that are kept frozen, \(\Delta\Phi\) denotes the additional parameters used by the PEFT adapters, and \(\lambda\) is the regularization parameter."
2024.acl-short.53,2,h=W_{0}x+BAx=(W_{0}+BA)x,,"L_{LoRA}=\frac{1}{|D_{M}|}\sum_{d\inD_{M}}L(d;\Phi_{0}+BA,\Delta\Phi)","where \(B\) and \(A\) are the low-rank matrices used in the LoRA approach, and \(r\) is the rank of the decomposition."
2024.acl-short.56,1,h^{\prime}=SoftMax(h\cdoth^{\prime T})\cdoth^{\prime},,"H=(z^{\prime}_{s}+M[1],\cdots,z^{\prime}_{s}+M[k])",Hybrid latent variables \(H\) are constructed by adding the sentence-level continuous latent variable \(z^{\prime}_{s}\) to the discrete latent variables \(M\).
2024.acl-short.56,2,"\mu^{\prime}_{1},...,\mu^{\prime}_{n}\\\log(\sigma^{\prime 2}_{1}),...,\log(\sigma^{\prime 2}_{n})=[h_{1};h^{\prime}_{1}]\\\cdots\\[h_{n};h^{\prime}_{n}]W^{\prime}_{u}\","where \(W^{\prime}_{u}\) is trainable parameters of \(q_{\phi}(z|r,c)\)","q_{\phi}(z|c,r)\simN(\mu^{\prime},\sigma^{\prime 2}I)","where \(W^{\prime}_{u}\) are trainable parameters of \(q_{\phi}(z|r,c)\)"
2024.acl-short.57,1,"a_{k}^{pred}=\operatorname*{arg\,max}_{a_{k}}\!P(a_{k}|q_{k},H_{k},D)",,"H_{k}=\{(q_{0},a_{0}^{pred}),\cdots,(q_{k-1},a_{k-1}^{pred})\}",History of questions and predictions up to turn \(k\).
2024.acl-short.57,2,"P(a_{k}|q_{k},H_{k},D)=P(a_{k}|q_{k},H_{k}^{\star},D)",,"P(a_{k}|q_{k},H_{k}^{\star},D)=P(a_{k}|q_{k},H_{k},D)","The probability of the predicted answer \(a_{k}\) given the question \(q_{k}\), the augmented history \(H_{k}^{\star}\), and the document \(D\) is equal to the probability of the predicted answer given the original history \(H_{k}\)."
2024.acl-short.57,3,"L_{CE}=CE(QA_{\theta^{\prime}}(q_{k},H_{k},D),a_{k}^{gold}) || L_{Cons}=D_{KL}(QA_{\theta^{\prime}}(q_{k},H_{k},D) || QA_{\theta^{\prime}}(q_{k},H_{k}^{\star},D)) || L_{T}=L_{CE}+\lambda L_{Cons}",,L_{T}=L_{CE}+\lambda L_{Cons},"Total loss for training the QA network, combining cross-entropy loss and consistency loss."
2024.acl-short.62,1,R(\tau)=\frac{1}{T}\sum_{t=1}^{T}r_{t},,R(\tau)=\frac{1}{T}\sum_{t=1}^{T} r_{t},"The average reward of the trajectory \(\tau\), where \(R(\tau)\) is the total reward, \(T\) is the length of the response, and \(r_{t}\) is the reward assigned to the token at time step \(t\)."
2024.acl-short.62,2,p(\tau^{i}\succ\tau^{j})&=\frac{\exp(R(\tau^{i}))}{\exp(R(\tau^{i}))+\exp(R(\tau^{j}))}\\&=\sigma(R(\tau^{i})-R(\tau^{j})),where \(\tau^{i}\) and \(\tau^{j}\) represent two different responses generated from the same prompt,P(\tau^{i}\succ\tau^{j})=\frac{e^{R(\tau^{i})}}{e^{R(\tau^{i})}+e^{R(\tau^{j})}},where \(\tau^{i}\) and \(\tau^{j}\) represent two different responses generated from the same prompt.
2024.acl-short.62,3,"&L=-E_{(\tau^{i},\tau^{j})\simD}[\log\sigma(R(\tau^{i})-R(\tau^{j}))]\\&=-E_{(\tau^{i},\tau^{j})\simD}[\log\sigma((\frac{1}{T^{i}}-\frac{1}{T^{j}})\sum_{t\in U_{0}}r_{t}\\&+\frac{1}{T^{i}}\sum_{t\in U_{1}}r_{t}^{i}-\frac{1}{T^{j}}\sum_ {t\in U_{1}}r_{t}^{j})]",,L=-\sum_{t\in U_{1}}\log(p(\tau^{i}\succ\tau^{j}))-\sum_{t\in U_{0}}\log(1-p(\tau^{i}\succ\tau^{j})),"where \(U_{0}\) and \(U_{1}\) represent the unchanged and changed parts of the responses, respectively."
2024.acl-short.62,4,"L\approx-E_{(\tau^{i},\tau^{j} )\simD}[\log\sigma(\frac{1}{T^{i}}\sum_{t\in U_{1}}r_{t}^{i}-\frac{ 1}{T^{j}}\sum_{t\in U_{1}}r_{t}^{j})]",,"L=-E_{(\tau^{i},\tau^{j})\simD}[\log\sigma((\frac{1}{T^{i}}\sum_{t\in U_{1}}r_{t}^{i}-\frac{1}{T^{j}}\sum_ {t\in U_{1}}r_{t}^{j})]","where \(T^{i}\) and \(T^{j}\) are the lengths of responses \(\tau^{i}\) and \(\tau^{j}\), respectively."
2024.acl-short.66,1,"H(t,a)=\mathds{1}[\{(i,t)\in a\}=\varnothing]",,\hat{y}_{t} is a hallucination\iff a(\hat{y}_{t})=\emptyset,A target word \(\hat{y}_{t}\) is a hallucination if there is no alignment to any source word \(x_{j}\).
2024.acl-short.66,2,"HR(x,\hat{y},a)=\frac{1}{|\hat{y}|}\sum_{t=1}^{|\hat{y}|}H(t,a)",,HR=\frac{H}{N},"HR: Hallucination Rate, H: Number of hallucinated words, N: Total number of target words"
2024.acl-short.66,3,"H_{wait-k}(t,a)=\mathds{1}[\{(s,t)\in a\mid s\geq t+k\}=\varnothing]",,"H_{G}(t,a)=\mathds{1}[\{(i,t)\in a\}=\varnothing\land t\leq k]",A target word \(\hat{y}_{t}\) is considered a hallucination in GHall if it does not align with the current source and its position \(t\) is less than or equal to \(k\).
