paper_id,equation_id,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.25,1,"s_{i}=\sigma(\frac{1}{\beta_{i}}(log\frac{\mu_{i}}{1-\mu_{i}}+\textit{log}\alpha_{i})) || m_{i}=min(1,max(0,s_{i}(\zeta-\gamma)+\gamma))",,"m_{i}\simHardConcrete(\log\alpha_{i},\beta_{i})",The mask variable \(m_{i}\) for each neuron is sampled from a hard concrete distribution parameterized by location \(\log \alpha_{i}\) and temperature \(\beta_{i}\).
2024.acl-short.25,2,"min(1,max(0,\sigma(log\alpha_{i})(\zeta-\gamma)+\gamma))",,"m_{i}=\min(1,\max(0,\sigma(\log\alpha_{i})\cdot (\zeta-\gamma)+\gamma))","During inference, the mask \(m_{i}\) is computed deterministically using the sigmoid of the location parameter \(\alpha_{i}\) and the constants \(\gamma\) and \(\zeta\)."
2024.acl-short.25,3,"L_{m}(f(m\odot\theta),x)=\sum_{i=1}^{I}log(P(x_{p+i}|x_{<p+i}))",,L_{adv}=-\sum_{i=p}^{p+I}\log P(x_i\mid x_{<i}; m\odot\theta),"The adversarial loss \(\mathcal{L}_{adv}\) is defined as the negative log-likelihood of the PII tokens, conditioned on the preceding context and the masked model parameters."
2024.acl-short.25,4,"L_{adv}(f(m\odot\theta),x)=-\sum_{t=1}^{T}log(P(x_{t}|x_{<t}))",,"L_{adv}(f(m\odot\theta),x)=-\sum_{t=1}^{T}\log P(x_t\mid x_{<t})","\(\mathcal{L}_{adv}(f(m\odot\theta),x)\) denotes the adversarial loss, defined as the negative log-likelihood of the original language modeling objective over the sequence \(x\)."
2024.acl-short.25,5,R(m)=-\frac{1}{|m|}\sum_{i=1}^{|m|}\sigma(log\alpha_{i}-\beta_{i}log \frac{-\gamma}{\zeta}),,R(m)=\sum_{i=1}^{n} (1-m_i),"The regularization term \(R(m)\) penalizes the number of neurons that are masked (i.e., where \(m_i = 0\)), encouraging sparsity in the selected neurons."
2024.acl-short.3,1,"\Delta(G_{1},G_{2})=\min_{ops}\sum_{i=1}^{n}w(op_{i})",,"\Delta(G_{1}, G_{2})=APTED(G_{1}, G_{2})",The tree edit distance \(\Delta\) between the predicted AST \(G_{1}\) and the ground-truth AST \(G_{2}\) is computed using the APTED algorithm.
2024.acl-short.3,2,"TSED=\max\{1-\frac{\delta}{MaxNodes(G_{1},G_{2})},0\}",,"TSED(G_{1}, G_{2})=\frac{\Delta(G_{1}, G_{2})}{\max(|G_{1}|, |G_{2}|)+\epsilon}","TSED is the normalized tree edit distance between ASTs \(G_{1}\) and \(G_{2}\), where \(|G_{1}|\) and \(|G_{2}|\) are the number of nodes in each tree and \(\epsilon\) is a small constant for numerical stability."
2024.acl-short.39,1,"Bio(m,co(m))=f_{gen}(m,co(m))",where biography is generated by the model \(f_{gen}\) given the personal attribute of interest (\(m\)) and the co-occurring attributes (\(co(m)\)),P(y\midx),The probability of generating a biography $\mathbf{y}$ given the structured infobox attributes $\mathbf{x}$.
2024.acl-short.39,2,"Bio(\phi,co(m))=f_{gen}(\phi,co(m))",,"Bio(mask(m), co(m))=f_{gen}(mask(m), co(m))",where the biography is generated by the model \(f_{gen}\) given the co-occurring attributes \(co(m)\) and the target attribute \(m\) is masked (not provided).
2024.acl-short.39,3,"Bio(f,co(m))=f_{gen}(f,co(m)),do(m\to f)","where \(do(m\to f)\) denotes the do operator (Pearl, 2009), e","Bio(m',co(m))=f_{gen}(m',co(m))","where the personal attribute of interest is replaced by an alternative value \(m'\), while the co-occurring attributes \(co(m)\) remain unchanged, and the biography is generated by the model \(f_{gen}\)."
2024.acl-short.40,1,"L_{e}=\frac{1}{N}\sum_{i=1}^{N}(\cos(S_{1,i},S_{2,i})-\cos(E_{1,i},E_{2,i}))^{2}","where \(N\) is the batch size, and \(S\) and \(E\) contain the target text SEM vectors and the predicted output SEM vectors respectively",L_{MSE}=\frac{1}{N}\sum_{i=1}^{N}\left\|h_i^{(1)}-h_i^{(2)}\right\|^2,$\mathcal{L}_{\text{MSE}}$ is the mean squared error loss between the sentence embeddings $\mathbf{h}_i^{(1)}$ and $\mathbf{h}_i^{(2)}$ produced by the twin subnetworks for each sample $i$ in a batch of size $N$.
2024.acl-short.40,2,"L_{o}=CE(T,O)=-\frac{1}{N}\sum_{i=1}^{N}\sum_{j=1}^{M} (T_{ij}\cdot\log(O_{ij}))","where \(N\) is the batch size, \(M\) the vocabulary size, \(T\) is the target text and \(O\) is the output text","L_{t}=-\frac{1}{N}\sum_{i=1}^{N}\sum_{j=1}^{T_i}\log P(y_{i,j}\mid y_{i,1:j-1},SEM_i)","where \(N\) is the batch size, \(T_i\) is the length of the \(i\)-th target sentence, \(y_{i,j}\) is the \(j\)-th target token, and \(\mathrm{SEM}_i\) is the input sentence embedding for sample \(i\)"
2024.acl-short.41,1,E(y)=h(\beta+\sum_{j=1}^{J}f_{j}(x_{j})),"where \(h(\cdot)\) is the activation function used in the output layer, e",y=f_1(x_1)+f_2(x_2)+\cdots+f_p(x_p)+\epsilon,"The target variable \( y \) is modeled as the sum of functions \( f_j \) of each input variable \( x_j \), plus an error term \( \epsilon \)."
2024.acl-short.41,2,h(E[y])=\beta+\sum_{j=1}^{J}f_{j}(x_{j(tab)})+\sum_{k=1}^{ K}f_{k}(x_{k(top)}),,E(y)=h\left(\beta+\sum_{j=1}^{J_{tab}} f_{j}^{tab}(x_{j(tab)})+\sum_{k=1}^{K_{top}} f_{k}^{top}(x_{k(top)})\right),"where \(f_{j}^{tab}\) and \(f_{k}^{top}\) are the shape functions for the tabular and topical features, respectively."
2024.acl-short.43,1,P(c|s)=\frac{\exp(b_{c}\cdot\frac{1}{T}\sum_{t=1}^{T}x_{t})}{\sum_{c^{\prime}=1}^{N}\exp(b_{c^{\prime}}\cdot\frac{1}{T}\sum_{t=1}^ {T}x_{t})},,P(c\mid s)=\frac{\exp(w_c^\toph+b_c)}{\sum_{c'=1}^{N}\exp(w_{c'}^\toph+b_{c'})},"\(P(c \mid s)\) is the posterior probability of language \(c\) given sentence \(s\), where \(\mathbf{h}\) is the aggregated sentence embedding, \(\mathbf{w}_c\) and \(b_c\) are the weight vector and bias for class \(c\), and \(N\) is the total number of languages."
2024.acl-short.43,2,"V_{c,t}(s)=b_{c}\cdotx_{t}",,"V_{c,t}(s)=b_{c}\cdotx_{t}","\(\mathbf{V}_{c,t}(s)\) is the logit for language \(c\) and word-level feature \(\mathbf{x}_{t}\) in sentence \(s\)."
2024.acl-short.49,1,CEF=\frac{\sum_{i=0}^{n}(I_{i}-\overline{I} )(M_{i}-\overline{M})}{\sqrt{\sum_{i=1}^ {n}(I_{i}-\overline{I})^{2}}\sqrt{\sum_{i=1}^ {n}(M_{i}-\overline{M})^{2}}},where \(\overline{x}=\frac{1}{n}\sum_{i=1}^{n}x_{i}\) (the sample mean),"CEF=corr(I,M)",The Correlational Explanatory Faithfulness (CEF) metric is defined as the Pearson correlation coefficient between prediction impact \(\mathcal{I}\) and mention importance \(\mathcal{M}\).
2024.acl-short.49,2,"TVD(P,Q)=\frac{1}{2}\sum_{x}|P(x)-Q(x)|",where P and Q are probability distributions over discrete classes,"TVD(p, q)=\frac{1}{2}\sum_{c} |p(c)-q(c)|","where \(p\) and \(q\) are the model's predicted probability distributions over classes before and after the intervention, respectively, and \(c\) ranges over all classes."
2024.acl-short.49,3,CCT=\frac{E_{M}(TVD)-E_{-M}(TVD)}{STD(TVD)}\sqrt{\frac{|M || \neg M|}{|M\cup\neg M|^{2}}},"where \(M\) indicates that the explanation mentions the IA, and \(|M|\) indicates the number of examples with explanation mentions",CCT=\frac{\sum_{i=1}^{n} (TVD_i-\overline{TVD})(M_i-\overline{M})}{\sqrt{\sum_{i=1}^{n} (TVD_i-\overline{TVD})^2}\sqrt{\sum_{i=1}^{n} (M_i-\overline{M})^2}},"where \(\text{TVD}_i\) is the total variation distance for intervention \(i\), and \(\mathcal{M}_i\) is the binary mention importance for intervention \(i\)."
2024.acl-short.5,1,"s_{ori}(x_{i}|x_{<i})= || \{{ll}\log P_{M_{e}}(x_{i}|x_{<i})-\log P_{M_{a}}(x_{i}|x_{<i}),&x_{i}\inV_{ori,i}^{\alpha}\\-\infty,&x_{i}\notinV_{ori,i}^{\alpha}\\s_{imp}(x_{i}|x_{<i})=\\\{{ll}(1+\beta)Y_{M_{a}}(x_{i}|x_{<i})-\beta Y_{M_{a}}(x_{i}|x_{<i}),&x_{i}\inV_{imp,i}^{\alpha}\\-\infty,&x_{i}\notinV_{imp,i} || s_{int}(x_{i}|x_{<i})= || \{{ll}(1+\beta)Y_{M_{e}}(x_{i}|x_{< i})-\beta Y_{M_{a}}(x_{i}|x_{<i}),&x_{i}\inV_{imp,i}^{\alpha}\\-\infty,&x_{i}\notinV_{imp,i}",,s_{ori}(x_{i}|x_{<i}) &=\log p_{exp}(x_{i}|x_{<i})-\alpha\log p_{am}(x_{i}|x_{<i})\\s_{imp}(x_{i}|x_{<i}) &=\log p_{exp}(x_{i}|x_{<i})-\alpha\log p_{am}(x_{i}|x_{<i})+\beta\cdotKL(p_{exp}(\cdot|x_{<i})\| p_{am}(\cdot|x_{<i})),"$s_{\text{ori}}(x_{i}|x_{<i})$ and $s_{\text{imp}}(x_{i}|x_{<i})$ are the contrastive logit scores for the original and improved contrastive decoding, respectively, where $p_{\text{exp}}$ and $p_{\text{am}}$ are the expert and amateur language model probabilities, $\alpha$ and $\beta$ are hyperparameters, and $\text{KL}$ denotes the Kullback-Leibler divergence."
2024.acl-short.5,2,"V_{ori,i}^{\alpha}=\{w|P_{M_{e}}(w|x_{<i})>\alpha\max_{w\inV}P_{M_{e}}(w|x_{<i})\} || V_{imp,i}^{\alpha}=\{w|Y_{M_{e}}(w| x_{<i})>\log\alpha+\max_{w\inV}Y_{M_{e}}(w|x_{<i})\}",,"V_{\cdot,i}^{\alpha}=\left\{ x_i\mid Y_{M_{\cdot}}(x_i|x_{<i})\geq\max_{x'_i} Y_{M_{\cdot}}(x'_i|x_{<i})-\alpha\right\}","The adaptive plausibility constraint $\mathcal{V}_{\cdot,i}^{\alpha}$ is the set of tokens whose logits are within $\alpha$ of the maximum logit at position $i$."
2024.acl-short.53,1,"L_{FT}=\frac{1}{|D_{M}|}\sum_{d\inD_{M}}L(d;\Phi _{0},\Delta\Phi)","where \(\mathcal{D}_{M}\) is the KE dataset and \(d\) is a fact edit example, \(L\) is the cross entropy loss function applied to autoregressive models, \(\Phi_{0}\) denotes the set of original weights of the language model that are kept frozen, and \(\Delta\Phi\) denotes the additional parameters used by the PEFT adapters","L=\frac{1}{N}\sum_{i=1}^{N}\ell(f_{\theta}(x_i), y_i)","$\mathcal{L}$ denotes the average loss over $N$ training examples, where $f_{\theta}(x_i)$ is the model prediction for input $x_i$ and $y_i$ is the corresponding target label."
2024.acl-short.53,2,h=W_{0}x+BAx=(W_{0}+BA)x,,W'=W+BA,"\(W'\) is the adapted weight matrix, \(W\) is the original weight matrix, and \(B\) and \(A\) are the trainable low-rank matrices in LoRA."
2024.acl-short.56,1,h^{\prime}=SoftMax(h\cdoth^{\prime T})\cdoth^{\prime},,"h_{inter}=Interaction(h,h^{\prime})",The interaction representation $\mathbf{h}_{\text{inter}}$ is computed by applying an interaction function to the prior memory $\mathbf{h}$ and the posterior memory $\mathbf{h}^{\prime}$.
2024.acl-short.56,2,"\mu^{\prime}_{1},...,\mu^{\prime}_{n}\\\log(\sigma^{\prime 2}_{1}),...,\log(\sigma^{\prime 2}_{n})=[h_{1};h^{\prime}_{1}]\\\cdots\\[h_{n};h^{\prime}_{n}]W^{\prime}_{u}\","where \(W^{\prime}_{u}\) is trainable parameters of \(q_{\phi}(z|r,c)\)","\mu^{\prime},\log\sigma^{\prime 2}=MLP([h;h^{\prime}])",The mean and log-variance of the posterior Gaussian are computed by passing the concatenation of prior and posterior memory through an MLP.
2024.acl-short.57,1,"a_{k}^{pred}=\operatorname*{arg\,max}_{a_{k}}\!P(a_{k}|q_{k},H_{k},D)",,"a_{k}^{pred}=M(q_{k}, D, H_{k})","The predicted answer \(a_{k}^{pred}\) at turn \(k\) is generated by the model \(\mathcal{M}\) given the current question \(q_{k}\), the document \(D\), and the history \(H_{k}\)."
2024.acl-short.57,2,"P(a_{k}|q_{k},H_{k},D)=P(a_{k}|q_{k},H_{k}^{\star},D)",,"P(a_{k}|q_{k},H_{k},D)=P(a_{k}|q_{k},H_{k}^{\star},D)",The probability of the answer given the original history should equal the probability given the augmented history.
2024.acl-short.57,3,"L_{CE}=CE(QA_{\theta^{\prime}}(q_{k},H_{k},D),a_{k}^{gold}) || L_{Cons}=D_{KL}(QA_{\theta^{\prime}}(q_{k},H_{k},D) || QA_{\theta^{\prime}}(q_{k},H_{k}^{\star},D)) || L_{T}=L_{CE}+\lambda L_{Cons}",,L_{T}=L_{CE}+\lambda L_{Cons},"Total loss \(L_{T}\) is the sum of the cross-entropy loss \(L_{CE}\) and the consistency loss \(L_{Cons}\), weighted by hyperparameter \(\lambda\)."
2024.acl-short.62,1,R(\tau)=\frac{1}{T}\sum_{t=1}^{T}r_{t},,R(\tau)=\frac{1}{T}\sum_{t=1}^{T} r_{t},The total trajectory reward \(R(\tau)\) is defined as the average of the token-level rewards \(r_t\) over the response length \(T\).
2024.acl-short.62,2,p(\tau^{i}\succ\tau^{j})&=\frac{\exp(R(\tau^{i}))}{\exp(R(\tau^{i}))+\exp(R(\tau^{j}))}\\&=\sigma(R(\tau^{i})-R(\tau^{j})),where \(\tau^{i}\) and \(\tau^{j}\) represent two different responses generated from the same prompt,P(y^{(1)}\succ y^{(2)})=\frac{\exp(R(\tau^{(1)}))}{\exp(R(\tau^{(1)}))+\exp(R(\tau^{(2)}))},The probability that response \(y^{(1)}\) is preferred over \(y^{(2)}\) is given by a softmax over their trajectory rewards.
