paper_id,equation_id,context,ground_truth_eq,ground_truth_description,generated_equation,generated_description
ICML_2024_oral_122,8,"In the subsequent sections, we explore two strategies for obtaining the target probabilities \(p_{i}(S,A;\tilde{\theta})\).

### Categorical Distributions from Scalars

The first set of methods we outline will project the scalar target \((\widehat{\mathcal{T}}Q)(S,A;\tilde{\theta})\) onto the categorical distribution supported on \(\{z_{i}\}_{i=1}^{m}\). A prevalent but naive approach for the projection step involves discretizing the scalar into one of \(m\) bins where \(z_{i}\) represents the center of the bin. The resulting one-hot distribution is ""lossy"" and induces errors in the \(Q\)-function. These errors would compound as more Bellman backups are performed, resulting in more biased estimates, and likely worse performance. To combat this, we first consider the ""two-hot"" approach (Schrittwieser et al., 2020) that represents a scalar target _exactly_ via a unique categorical distribution that puts non-zero densities on two locations that the target lies between (see Figure 1; Left).

**A Two-Hot Categorical Distribution.** Let \(z_{i}\) and \(z_{i+1}\) be the locations which lower and upper-bound the TD target \(y=(\widehat{\mathcal{T}}Q)(S,A;\tilde{\theta})\), i.e., \(z_{i}\leq y\leq z_{i+1}\). Then, the probability, \(p_{i}\) and \(p_{i+1}\), put on these locations is:","p_{i}(S,A;\tilde{\theta})=\frac{y-z_{i}}{z_{i+1}-z_{i}},\ p_{i+1}(S,A;\tilde{ \theta})=\frac{z_{i+1}-y}{z_{i+1}-z_{i}}\,.",,"p_{i}=\frac{z_{i+1}-y}{z_{i+1}-z_{i}},\ p_{i+1}=\frac{y-z_{i}}{z_{i+1}-z_{i}}.","where \(p_{i}\) and \(p_{i+1}\) are the probabilities assigned to the locations \(z_{i}\) and \(z_{i+1}\) respectively, based on the scalar target \(y\)."
ICML_2024_oral_13,3,"This yields an estimated probability measure \(\mathbb{P}_{n}^{\leftarrow}\) on \(\mathcal{V}^{n}\).

In this paper, we will speak of _forward/backward (FW/BW) model_ to refer to the same (architectural) model trained with the same hyperparameters (learning rate, batch size, training time,...) but fed with (batches of) \((x_{1},\ldots,x_{n})\) and \((x_{n},\ldots,x_{1})\) from the same dataset respectively. In other words, both models are the same, except that the FW model is trained to predict the _next_ token, while the BW one is trained to predict the _previous_ token.

**Problem 1**.: For a measure \(\mathbb{P}\) and a given model, how do the _forward and backward measures_\(\mathbb{P}_{n}^{\rightarrow}\) and \(\mathbb{P}_{n}^{\leftarrow}\) differ from one another?

For certain \(\mathbb{P}\)s, we will see universal asymmetries: for any given architecture and hyperparameters, a substantial difference between the way \(\mathbb{P}_{n}^{\rightarrow}\) and \(\mathbb{P}_{n}^{\leftarrow}\) approximate \(\mathbb{P}\) arises.

### Cross-Entropy Loss and Perplexity

LLMs are trained as follows: sample sequences of \(n\) consecutive tokens \((x_{1},\ldots,x_{n})\) from the dataset; then, for \(i=1,\ldots,n\), get a prediction \(p_{i}:\mathcal{V}\rightarrow[0,1]\) for \(X_{i}\) (given previous tokens for the FW model/next tokens for the BW one), compute the loss \(\sum_{i=1}^{n}\ell\left(p_{i},x_{i}\right)\) on the observed tokens \(x_{i}\) for a loss function \(\ell\), perform a gradient step to optimize \(\ell\), and start again.

In the training of most LLMs, the prime choice for \(\ell\) is the _cross-entropy loss_, defined by \(\ell_{\mathcal{C}}\left(\mathbf{p}_{k},x_{k}\right)=-\ln\mathbf{p}_{k}\left( x_{k}\right)\): the negative log of the _predicted probability of the observed token_. It is a _proper scoring rule_(Savage, 1971; Gneiting and Raftery, 2007), uniquely identified by certain modularity properties (Hanson, 2012); in expectation, it gives the number of nats (\(\ln 2\) times the number of bits) needed to compress \((x_{1},\ldots,x_{n})\) when using a coding scheme based on the model's estimated probabilities. Finally, and crucially for us, we have the following:

_Remark 2_.: For \(i=1,\ldots,n\), let \(\left(\mathbf{p}_{i}^{\rightarrow}\right)_{i}\) and \(\left(\mathbf{p}_{i}^{\leftarrow}\right)_{i}\) denote the predictions of the FW and BW models respectively. Setting \(\ell_{i}^{\leftarrow}:=\ell_{\mathcal{C}}\left(\mathbf{p}_{i}^{\leftarrow},x_ {i}\right)\), we have","\sum_{i=1}^{n}\ell_{i}^{arrow}=-\ln\mathbb{P}_{n}^{arrow}\{X_ {1}=x_{1},\cdots,X_{n}=x_{n}\}.",,\ell_{i}^{\leftarrow}=-\ln\mathbf{p}_{i}^{\leftarrow}\left( x_{i}\right),"Cross-entropy loss for the backward model, where \(\ell_{i}^{\leftarrow}\) is the loss for the \(i\)-th token prediction from the backward model."
ICML_2024_oral_13,4,"In particular, if the FW and BW measures coincide, the cross-entropy losses are identical.

_Remark 3_.: If \((x_{1},\ldots,x_{n})\) is sampled from \(\mathbb{P}_{n}\), denoting by \(\mathcal{L}_{n}^{\leftarrow}\) the expectations of \(\sum_{i=1}^{n}\ell_{i}^{\leftarrow}\) (estimated by the test loss of the models during training), we have","\mathcal{L}_{n}^{arrow}=\mathrm{D}_{\mathrm{KL}}(\mathbb{P}_{n} \big{|}\big{|}\mathbb{P}_{n}^{arrow})+H(\mathbb{P}_{n}),",where \(H\) denotes the entropy and \(\mathrm{D}_{\mathrm{KL}}\) the Kullback-Leibler divergence,\mathcal{L}_{n}^{\leftarrow} = H(X) + \mathrm{D}_{\mathrm{KL}}\left(\mathbb{P}_{n}^{\leftarrow} \| \mathbb{P}_{n}\right),where \(H\) denotes the entropy and \(\mathrm{D}_{\mathrm{KL}}\) the Kullback-Leibler divergence
ICML_2024_oral_15,2,"\). This formalization allows for a reconsideration of the optimal \(T\) given \(X\) for previous works, as will be analyzed in Section 4.

Information retrieval involves another term, \(Q\), and the optimization can be extended as follows:",\min_{p(T|X)} I(X;T),,"\min_{p(T|X,Q)}\quad I(X;T|Q),",where \(I(X;T|Q)\) denotes the conditional mutual information of \(X\) and \(T\) given \(Q\).
ICML_2024_oral_15,9,(8),"=\mathbb{E}_{X,T,Q}\log\frac{p(X|Q)}{p(T|Q)}\frac{p(T)}{p(X)}.",,"I(X;T) =\mathbb{E}_{X,T}\log\frac{p(X|T)}{p(X)},",where \(I(X;T)\) denotes the mutual information between \(X\) and \(T\).
ICML_2024_oral_24,1,"### Measuring Debater and Judge Performance

We are interested in oversight protocols with no access to labels, but existing work uses metrics that assume access to the ground truth. In this section, we introduce metrics to measure debater capabilities without this assumption. Given a dataset \(\mathcal{D}\) consisting of \(N\) questions (\(q\)) and candidate answers (\(a_{1},a_{2}\)), \(\mathcal{D}=\{q_{i},a_{i1},a_{i2}\}_{i=1}^{N}\), a debate _match_ is defined over a dataset by \((D_{1},D_{2},J)\), comprising two models \(D_{1}\) and \(D_{2}\), and a Judge \(J\). The first argument refers to which model is assigned \(a_{1}\) to support (in this case \(D_{1}\)), and the second argument refers to which model is assigned \(a_{2}\). A consultancy match with a consultant \(D\) is expressed as \((D,-,J)\) or \((-,D,J)\).

**Win rate** -- We define the win rate as the frequency with which a judge picks a specific debater's answer. For the match \((D_{1},D_{2},J)\), the win rate, \(\omega_{1}\), for Debater \(D_{1}\) is:","\omega_{1}(D_{1},D_{2},J)=\frac{1}{N}\sum_{i=1}^{N}\mathds{1}\{J(q_{i},a_{i1}, a_{i2})=a_{i1}\}",,\omega_{1} = \frac{N_{1}}{N},"Where \(\omega_{1}\) is the win rate for Debater \(D_{1}\), \(N_{1}\) is the number of times Judge \(J\) selects \(D_{1}\)'s answer, and \(N\) is the total number of matches."
ICML_2024_oral_24,2,"In practice, this win rate depends on the assignment of the answer choice, which gives an unfair advantage, as some assignments may be easier to argue for than others (e.g. some answers are easier to defend than others). To mitigate this, we flip assignments such that \(D_{1}\) and \(D_{2}\) argue for the opposite assignments and then take the average, \(\bar{\omega}_{1}\). Assuming debaters perform equally well across all questions, we say \(D_{1}\) is _more persuasive_ than \(D_{2}\) if:","\bar{\omega}_{1}(D_{1},D_{2},J)>\frac{1}{2}",,"\bar{\omega}_{1}(D_{1},D_{2},J)=\frac{1}{2}\left(\omega_{1}(D_{1},D_{2},J) + \omega_{1}(D_{2},D_{1},J)\right)",Average win rate for Debater \(D_{1}\) considering flipped assignments.
ICML_2024_oral_24,3,"**Elo rating** -- To capture a general notion of persuasiveness, we evaluate aggregate win rates for each debater across a population of co-debaters. We parameterise win rates by a latent skill, using the Elo ranking metric (Elo, 1978). We calculate ratings by minimising predicted win rate error (see Appendix D.5). _Aggregate rating_ is defined as the latent skill for a debater independent of assignment. Given two debaters, \(D_{1}\) and \(D_{2}\), and a judge \(J\), we define each player's aggregate rating, \(E_{1}\) and \(E_{2}\), as the solution to the equality:","\bar{\omega}_{1}(D_{1},D_{2},J)=\frac{1}{1+10^{(E_{2}-E_{1})/400}}",,"E_{1} = E_{2} + \log\left(\frac{1 - \bar{\omega}_{1}(D_{1},D_{2},J)}{\bar{\omega}_{1}(D_{1},D_{2},J)}\right)",Aggregate rating for debater \(D_{1}\) in relation to debater \(D_{2}\) and judge \(J\).
ICML_2024_oral_26,3,"It can be observed that the computational and memory complexity for calculating each output in a Transformer model is \(\mathcal{O}(nd)\), where \(n\) is the sequence length and \(d\) is the dimensionality of the representation. Consequently, the time and memory complexity for processing a sentence of length \(n\) scales quadratically, becoming \(\mathcal{O}(n^{2}d)\). This quadratic scaling poses a significant computational burden, particularly for longer sequences where \(n\) is large, making processing resource-intensive and challenging.

To mitigate this complexity, the concept of a kernel mechanism has been introduced as a means to reduce the computational demands of attention mechanisms, which has been introduced in Tsai et al. (2019); Katharopoulos et al. (2020); Choromanski et al. (2020). Specifically, this involves the introduction of a kernel function \(K(\cdot,\cdot)\), which acts as a positive-definite kernel capable of measuring similarity. By utilizing this kernel, the attention mechanism can be reformulated as:","o_{i}=\sum_{j=1}^{n}\frac{K(q_{i},k_{j})}{\sum_{j^{\prime}=1}^{n}\mathcal{K}( q_{i},k_{j^{\prime}})}v_{j},",,"\begin{split}&\text{Attention}(Q,K,V) = \sum_{i=1}^{n} \sum_{j=1}^{n} K(q_{i}, k_{j}) v_{j},\\ &\text{where } K(\cdot,\cdot) \text{ is a positive-definite kernel.}\end{split}","where \(K(q_{i}, k_{j})\) denotes the kernel function measuring similarity between query \(q_{i}\) and key \(k_{j}\)."
ICML_2024_oral_44,3,"A sampling method that realizes this distribution is first to initialize a graph \(G^{\prime}\leftarrow(N,E)\). Then, iteratively sample whether to include edge \(e_{i}\) in \(G^{\prime}\) for all \(i\)'s. If including \(e_{i}\) causes a cycle in current \(G^{\prime}\), then the edge would not be included. Otherwise, add the edge to \(G^{\prime}\) with probability \(\theta_{i}\).

#### 2.3.3 Optimization Algorithm

To optimize the objective function (Equation (1)), we apply the REINFORCE algorithm (Williams, 1992) by applying a gradient ascent variant (e.g., Adam (Kingma and Ba, 2014)) with an unbiased gradient estimation:","\nabla_{\theta}\operatorname{\mathbb{E}}_{G_{\mathcal{E}}\sim D_{\theta}} [u_{\tau}(G_{\mathcal{E}})]\approx\frac{1}{M}\sum_{i=1}^{M}\hat{u}_ {\tau}(G_{i})\nabla_{\theta}\log(p_{\theta}(G_{i})),","where \(G_{1},G_{2},\ldots,G_{N}\sim D_{\theta}\) are mutually independent and \(\hat{u}_{\tau}(G_{i})\) is an independent unbiased estimate of \(u_{\tau}(G_{i})\) for all \(i\) and some \(M\in\mathbb{N}\)","\nabla_{\theta}\mathbb{E}_{G\sim D_{\theta}}[\hat{u}_{\tau}(G)]\approx\frac{1}{M}\sum_{i=1}^{M}\nabla_{\theta}\log P(G_{i})\hat{u}_{\tau}(G_{i}),","where \(G_{1},G_{2},\ldots,G_{N}\sim D_{\theta}\) are mutually independent and \(\hat{u}_{\tau}(G_{i})\) is an independent unbiased estimate of \(u_{\tau}(G_{i})\) for all \(i\) and some \(M\in\mathbb{N}\)"
ICML_2024_oral_5,8,"rs.

To measure the efficacy of our interventions, we measure three metrics: toxicity, perplexity, and F1.

**Toxicity.** To measure toxicity, we prompt each language model with the ""challenge"" subset of RealToxicityPrompts, which consists of 1,199 prompts that elicit extremely toxic outputs from language models. We follow prior work (Geva et al., 2022) and use Perspective API,3 an automated tool for toxicity detection, to assign toxicity scores to each generation.

Footnote 3: [https://github.com/conversational/perspectiveapi](https://github.com/conversational/perspectiveapi)

Perplexity.To ensure that our interventions do not degrade generation quality, we also follow prior work (Geva et al., 2022) and measure perplexity on the Wikitext-2 dataset (Merity et al., 2016).

F1.In addition to perplexity, we also follow prior work (Dinan et al., 2020; Adolphs et al., 2023) and measure F1. Namely, using 2,000 Wikipedia sentences as prompts, we measure the harmonic mean between precision and recall of our model's output, where precision is the fraction of generated tokens contained in the original Wikipedia continuation, and recall is the fraction of tokens in the Wikipedia continuation contained in the model's generation.

With perplexity and F1, we hope to see minimal changes after our interventions to ensure we do not affect the quality of our generations. Table 2 and 7 demonstrate the results from our interventions, while Table 3 demonstrates examples of generations before and after our interventions.

Note that our interventions depend on how much we scale each vector (\(\alpha\)). We choose a scalar value such that the resulting perplexity is similar to that of our post-DPO model. For details regarding our post-DPO model see Section 4.

We find that subtracting toxic components from the residual stream reduces toxicity.

## 4 Toxicity Alignment Using DPO

We next describe our alignment procedure using DPO.

### Background: DPO

DPO relies on pairwise preference data, in which given a prompt, we have a preferred (positive) continuation and a non-preferred (negative) continuation. Given each preference pair, the algorithm promotes the likelihood of the positive sample, while suppressing the likelihood of the negative sample, using the following loss term:","\mathcal{L}_{\text{DPO}}=-\mathbb{E}[\log\sigma(\beta \log P-\beta\log N)], || P=\frac{\pi_{\theta}(y_{+}\mid\mathbf{w})}{\pi_{ref}(y_{+}\mid \mathbf{w})},N=\frac{\pi_{\theta}(y_{-}\mid\mathbf{w})}{\pi_{ref}(y_{-}\mid \mathbf{w})},",,\mathcal{L}_{DPO} = -\log\left(\frac{p_{+}}{p_{+} + p_{-}}\right),"where \(p_{+}\) and \(p_{-}\) are the probabilities of the positive and negative samples, respectively"
ICML_2024_oral_58,1,"### World Model Learning

The world model learns representations of all sensory modalities that the agent receives and then predicts the sequence of these latent representations given actions. Predicting future representations not only provides a rich learning signal to ground language in visual experience but also allows planning and policy optimization from imagined sequences. The world model is shown in Figure 2(a). At each time step, it receives an image \(x_{t}\), a language token \(l_{t}\), and an action \(a_{t}\). The image and language observations are compressed into a discrete representation \(z_{t}\) and fed together with the action into the sequence model to predict the next representation \(\hat{z}_{t+1}\). The multimodal world model consists of the following components, where \(h_{t}\) is a recurrent state:","\text{Sequence model:} \hat{z}_{t},\,h_{t}=\text{seq}(z_{t-1},\,h_{t-1},\,a_{t-1}) || \text{Multimodal encoder:} z_{t}\sim\text{enc}(x_{t},\,l_{t},\,h_{t}) || \text{Multimodal decoder:} \hat{x}_{t},\,\hat{l}_{t},\,\hat{r}_{t},\,\hat{c}_{t}=\text{ dec}(z_{t},\,h_{t})",,"\hat{z}_{t+1} = f(z_{t}, a_{t}, h_{t})","Predicted next representation based on current representation, action, and recurrent state."
ICML_2024_oral_93,2,"rm.

### Heatmap Generation

In the context of large-scale TSP, recent state-of-the-art approaches blend ML and OR, where ML models do not predict a solution (i.e., a permutation \(\mathbf{\pi}=(\pi_{1},\pi_{2},...,\pi_{n})\) of all the vertices) outright but alter the solution space distribution. Specifically, trained models predict an \(n\times n\) heatmap \(\Phi\), where \(\Phi_{i,j}\) indicates the suitability of including edge \((i,j)\) in the solution. The optimization problem's objective is defined as:","\mathcal{L}(\theta)=\mathbb{E}_{\mathbf{\pi}\sim\mathcal{S}}[\mathbb{E}_{\Phi \sim f_{\theta}(s)}[\mathbb{E}_{\mathbf{\pi}\sim g(s,\Phi)}[c(\bm {\pi})]]],","where \(s\) represents an instance from distribution \(\mathcal{S}\), \(\theta\) is the trainable parameters of model \(f\), \(\mathbf{\pi}\) is the solution outputed by post-hoc search algorithm \(g\) given \(\Phi\), and \(c(\mathbf{\pi})\) is calculated based on Equation 1","\min_{\mathbf{\pi}} \mathbb{E}_{s \sim \mathcal{S}} \left[ c(\mathbf{\pi}) + \lambda \sum_{i=1}^{n} \sum_{j=1}^{n} \Phi_{i,j} \cdot \mathbb{I}(\mathbf{\pi}) \right],","where \(s\) represents an instance from distribution \(\mathcal{S}\), \(\theta\) is the trainable parameters of model \(f\), \(\mathbf{\pi}\) is the solution outputted by post-hoc search algorithm \(g\) given \(\Phi\), and \(c(\mathbf{\pi})\) is calculated based on Equation 1."
ICML_2024_oral_93,3,"1.

Given the non-differentiable and computationally intensive nature of \(\mathbb{E}_{\mathbf{\pi}\sim g(s,\Phi)}\left[c\left(\mathbf{\pi}\right)\right]\), a surrogate loss \(\ell\left(s,\Phi\right)\), which is both differentiable and easy to compute, is often em ployed, leading to a surrogate objective:","\mathcal{L}_{\textit{surrogate}}(\theta)=\mathbb{E}_{s\sim\mathcal{S}}[ \mathbb{E}_{\Phi\sim f_{\theta}(s)}[\ell(s,\Phi)]].",,"\mathcal{L}_{\text{surrogate}}(\theta) = \mathbb{E}_{s \sim \mathcal{S}}[\ell(s,\Phi)],","where \(\ell(s,\Phi)\) is the surrogate loss function based on the heatmap \(\Phi\) and the TSP instance \(s\)."
ICML_2024_oral_93,4,"This surrogate loss, designed heuristically, can take forms of supervised (Fu et al., 2021; Sun and Yang, 2023), unsupervised (Min et al., 2023), or reinforcement learning (Qiu et al., 2022), where the optimized \(\theta^{*}\) from minimizing \(\mathcal{L}_{\textit{surrogate}}(\theta)\) is aimed to approximate the optimal \(\theta\) obtained from the original loss, i.e., \(\theta^{*}\approx\text{argmin}_{\theta}\mathbb{E}_{s\sim\mathcal{S}}\left[ \mathbb{E}_{\Phi\sim f_{\theta}(s)}\left[\mathbb{E}_{\mathbf{\pi}\sim g(s,\Phi)} \left[c\left(\mathbf{\pi}\right)\right]\right]\right]\). However, this approximation often lacks a rigorous theoretical foundation, making it uncertain whether minimizing the surrogate loss genuinely aligns with optimizing the original TSP objective. Consequently, despite optimizing \(\theta^{*}\) for the surrogate loss, its efficacy in guiding MCTS to find optimal solutions during testing remains questionable. During inference, the output heatmap \(\Phi^{*}\) from \(f_{\theta^{*}}(s)\) is fed into the search algorithm \(g\), yielding the solution \(\mathbf{\pi}^{*}\sim g(s,\Phi^{*})\). This disconnect between training and test phases--where training focuses on heatmap generation without involving MCTS, while testing relies on MCTS guided by these heatmaps--highlights a potential misalignment in the approach, as depicted in Figure 2.

### Monte Carlo Tree Search

MCTS is utilized as a guided \(k\)-opt process, which iteratively refines a complete TSP solution \(\mathbf{\pi}\) by alternating edge deletions and additions. The selection of edges during \(k\)-opt is influenced by a weight matrix \(W\) and an access matrix \(Q\), both of which are dynamically updated based on \(k\)-opt outcomes. Here, \(W_{i,j}\) scores the suitability of edge \((i,j)\) in the solution, while \(Q_{i,j}\) records the number of times edge \((i,j)\) is selected. Note that this section covers only the key aspects of MCTS. For a detailed understanding, please refer to Fu et al. (2019, 2021); Min et al. (2023).

Initialization.The heatmap \(H\) initializes \(W\) (\(W_{i,j}=100\times H_{i,j}\)). The access matrix \(Q\) starts with all elements set to zero. Edge potential matrix \(Z\) guides the \(k\)-opt process, balancing exploitation and exploration. The edge potential \(Z_{i,j}\) is formulated as \(Z_{i,j}=\frac{W_{i,j}}{\Omega_{i}}+\alpha\sqrt{\frac{\ln(M+1)}{Q_{i,j}+1}}\), where \(\Omega_{i}\), the average weight of edges connected to vertex \(i\), is \(\Omega_{i}=\frac{\sum_{j\neq i}W_{i,j}}{\sum_{j\neq i}1}\), \(\alpha\) balances exploitation and exploration, and \(M\) is the total number of actions sampled so far.

A random initial tour \(\mathbf{\pi}\) is constructed and optimized using 2-opt. The initial tour construction probability is formulated as \(p(\mathbf{\pi})=p(\pi_{1})\prod_{i=2}^{n}p(\pi_{i}|\pi_{i-1})\), where \(p(\pi_{i}|\pi_{i-1})\) is the conditional probability of choosing the next vertex, calculated by the edge potential:","p(\pi_{i}|\pi_{i-1})=\frac{Z_{\pi_{i-1},\pi_{i}}}{\sum_{l\in\mathbb{X}_{\pi_{ i-1}}}Z_{\pi_{i-1},l}},",,"p(\pi_{i}|\pi_{i-1})=\frac{Z_{i,\pi_{i}}}{\sum_{j\neq \pi_{i-1}}Z_{i,j}},","where \(Z_{i,j}\) is the edge potential for edge \((i,j)\), \(\Omega_{i}\) is the average weight of edges connected to vertex \(i\), \(\alpha\) is a balancing parameter, and \(M\) is the total number of actions sampled."
naacl_2024_short_23,2,"\). The AttributePredictor (see section 3.1) is a novel formulation of geographical text classification, the CandidateGenerator (see section 3.2) is the best ranking system from prior work, and the Constrainter (see section 3.3) is a novel deterministic constraint-based algorithm.

### Attribute Predictor

This function predicts the country, state, and feature class of \(m\). It is formulated as a text classification model, based on a novel input prompt coupled with a masked language modeling objective. The prediction targets are defined as:

**Feature Class** is one of the nine types defined by GeoNames: \(A\), Administrative boundaries (e.g., countries, states, provinces); \(P\), Populated places (e.g., cities, towns, villages); \(U\), Undersea features (e.g., oceanic ridges, trenches), etc.
**State** is the canonical name of one of the 3871 first-order administrative divisions in GeoNames, such as states, provinces, or regions.
**Country** is the canonical name of one of the 252 countries in GeoNames.

Figure 1: The architecture of our model: GEOgraphical normalization by Predicting Attributes to Constrain Ontology Entries (GeoPLACE). The figure shows how GeoPLACE normalizes a mention of _Paris_.

We implement prediction of these targets as:","Z =\textsc{transformer}(\textsc{Toinput}(m,M)) || \hat{C}_{m} =\mathrm{softmax}(Z_{c}W_{c}) || \hat{S}_{m} =\mathrm{softmax}(Z_{s}W_{s}) || \hat{F}_{m} =\mathrm{softmax}(Z_{f}W_{f})",,\hat{C}_{m} = \textsc{predictCountry}(m),"Predictions for the country, state, and feature class of the mention \(m\) using respective prediction functions."
naacl_2024_short_23,3,"),..., \(m_{|M|}\) in which \(m\) is [MASK] located in [MASK] of [MASK] [SEP]1; \(f\), \(s\), \(c\), are the indexes of the three [MASK] tokens; \(W_{c},W_{s},W_{f}\in\mathbb{R}^{N\times H}\) are the learnable parameters of the three classification heads; \(N\) is the size of the transformer tokenizer's vocabulary; and \(H\) is the size of the transformer's contextualized representations. We add new tokens to the transformer's tokenizer to ensure that every country, state, and feature class is a single token in the classifier output, e.g., making _United States_ a single token. This single-token prediction approach compares favorably to a multi-token sequence-to-sequence prediction approach, as shown in section 4.

Footnote 1: This prompt dramatically reduces the size of the input while still providing most of the critical document-level information for disambiguating toponyms

The model is trained on the labeled data in the toponym datasets with cross-entropy loss:",L=C_{m}log(\hat{C}_{m})+S_{m}log(\hat{S}_{m})+F_{m}log(\hat{F}_{m}),"where \(C_{m}\), \(S_{m}\), and \(F_{m}\) are one-hot vectors of size \(N\) representing the true country, state, and feature class for mention \(m\)",\mathcal{L} = -\frac{1}{|M|}\sum_{m\in M}\left(C_{m}\log(\hat{C}_{m}) + S_{m}\log(\hat{S}_{m}) + F_{m}\log(\hat{F}_{m})\right),"where \(C_{m}\), \(S_{m}\), and \(F_{m}\) are one-hot vectors of size \(N\) representing the true country, state, and feature class for mention \(m\)."
naacl_2024_short_26,3,"\).

### Prototypical Contrastive Learning

One may notice that \(\mathcal{L}_{gen}\) maximizes the likelihood over the entire sentence. In fact, more optimizations may be beneficial especially when decoding the stance label. To this end, we decouple the stance embedding \(\boldsymbol{z}\in\mathbb{R}^{embed\_size}\) (the embedding used to generate the stance token) from BART decoder outputs. We then project it into a low-dimensional vector \(\boldsymbol{\hat{z}}\in\mathbb{R}^{low\_embed\_size}\) to prevent \(\boldsymbol{z}\) losing much semantics and being over-corrected. To regularize \(\boldsymbol{\hat{z}}\) to be more discriminative in the latent space, inspired by Li et al. (2021), we introduce the concept of prototypes, they are widely adopted in data-efficient learning Li et al. (2024) and can be viewed as the representatives of class-wise embeddings. However, different from Li et al. (2021), we view prototypes as the representatives of class-wise projected embeddings instead of class-agnostic ones. By interacting with prototypes, a contrastive loss is employed to increase the intra-class similarity but decrease the inter-class similarity of projected stance embeddings. In the following, we will detail how to estimate class-wise prototypes and formulate the contrastive loss.

Online Prototype UpdateFor each stance class \(c\), we randomly initialize a vector \(\boldsymbol{v}_{c}\) as its prototype before normalizing it into a unit one at the beginning. Along the training progress, we update \(\boldsymbol{v}_{c}\) at each step in a moving average manner by,",\boldsymbol{v}_{c}arrow\text{Normalize}(\beta\boldsymbol{v}_{c}+(1- \beta)\boldsymbol{v}_{c}^{\prime}),"where \(\beta\) is a momentum coefficient, \(\text{Normalize}(\cdot)\) is the normalization function, and \(\boldsymbol{v}_{c}^{\prime}\) is the centroid of embeddings belonging to class \(c\) in the batch",\boldsymbol{v}_{c} \leftarrow (1 - \beta) \boldsymbol{v}_{c} + \beta \cdot \text{Normalize}(\boldsymbol{v}_{c}^{\prime}),"where \(\beta\) is a momentum coefficient, \(\text{Normalize}(\cdot)\) is the normalization function, and \(\boldsymbol{v}_{c}^{\prime}\) is the centroid of embeddings belonging to class \(c\) in the batch"
naacl_2024_short_34,3,"Eq. (2) encapsulates the recurrence relation of S4 (Gu et al., 2022; Gupta et al., 2022), S5 (Smith et al., 2023), and Linear Recurrent Unit (Orvieto et al., 2023). For example, \(A\) represents the HiPPO matrix family (Gu et al., 2023) of S4 or a complex diagonal matrix of Linear Recurrent Unit. We show in Proposition 1 that such an input-independent matrix \(A\) cannot represent subtraction.

**Proposition 1**.: _An input-independent LRNN is inconsistent in representing subtraction._

Proof.: Denote \(u_{0}\), \(u_{-}\), and \(u_{1}\) as the input vector w.r.t. input characters 0, -, and 1. Denote \(z\) as the initial state vector. The sequences ""0-1"" and ""1-0"" are represented as","\begin{split} x_{0-1}&=A^{3}z+A^{2}u_{0}+Au_{-}+u_{ 1},\ \ \text{for ""0-1""}\\ x_{1-0}&=A^{3}z+A^{2}u_{1}+Au_{-}+u_{0},\ \ \text{for ""1-0""} \end{split}",,"z_{0} = A z + B u_{0}, \quad z_{1} = A z_{0} + B u_{-}, \quad z_{2} = A z_{1} + B u_{1}","Denote \(z_{0}\), \(z_{1}\), and \(z_{2}\) as the state vectors representing the sequences ""0-1"" and ""1-0"" in the LRNN framework."
