paper_id,equation_id,context,ground_truth_eq,ground_truth_description,generated_equation,generated_description
2024.acl-short.15,5,"rs.

For slot filling task, we similarly feed each hidden state \(\mathbf{h}_{[1:-1]}\) and \(\mathbf{h}^{\prime}_{[1:-1]}\) into a classification layer (decoder\({}^{S}\)):","\mathbf{P}^{S}_{\mathbf{x}} =\mathrm{softmax}(\mathbf{W}^{S}\mathbf{h}_{[1:-1]}+\mathbf{b}^{ S}), || \mathbf{P}^{S}_{\mathbf{x}^{\prime}} =\mathrm{softmax}(\mathbf{W}^{S}\mathbf{h}^{\prime}_{[1:-1]}+ \mathbf{b}^{S}).",,"\mathbf{P}^{S}_{\mathbf{x}} =\mathrm{softmax}(\mathbf{W}^{S}\mathbf{h}_{[1:-1]}+\mathbf{b}^{S}),",where $\mathbf{P}^{S}_{\mathbf{x}}$ denotes the predicted slot sequence probabilities for the original sentence $\mathbf{x}$
2024.acl-short.15,6,"The learning objective is to train the classifier to match predicted labels of the original sentence with the ground truth, thus the intent detection loss \(\mathcal{L}_{I}\) and slot filling loss \(\mathcal{L}_{S}\) are defined as:","\mathcal{L}_{I} =\mathrm{CE}(\mathbf{P}^{I}_{\mathbf{x}},\mathbf{P}^{I}), || \mathcal{L}_{S} =\frac{1}{L}\sum_{i=1}^{L}\mathrm{CE}(\mathbf{P}^{S}_{[\mathbf{x},i]},\mathbf{P}^{S}_{i}),",,"\mathcal{L}_{I} = -\log \mathbf{P}^{I}_{\mathbf{x}}(y^{I}),",where $y^{I}$ is the ground truth intent label for the original sentence $\mathbf{x}$
2024.acl-short.15,7,"en.

On the other hand, we hope the output produced by the decoder\({}^{I}\) and decoder\({}^{S}\) are language-invariant. Toward this goal, we leverage multi-view learning (Li et al., 2018) to exploit prediction-level alignment from multiple views, which usually contain complementary insights.

Concretely, we consider two distinct views: the probability distribution of original and code-switched sentences. Then, we strive to establish a consensus between these two views, ensuring that the predicted distributions across both two views for each subtask should be as closely aligned as possible:","\mathcal{L}_{\text{PLA}}=\underbrace{\mathrm{KL}(\mathbf{P}^{I}_{\mathbf{x}^{ \prime}}||\mathbf{P}^{I}_{\mathbf{x}})}_{\text{Intent PLA}}+\underbrace{ \mathrm{KL}(\mathbf{P}^{S}_{\mathbf{x}^{\prime}}||\mathbf{P}^{S}_{\mathbf{x}}) }_{\text{Slot PLA}},","where \(\mathrm{KL}(\cdot)\) denotes Kullback-Leibler divergence (Kullback and Leibler, 1951) to measure the difference between two distributions","\mathcal{L}_{\text{PLA}} =\mathrm{KL}(\mathbf{P}^{I}_{\mathbf{x}}\parallel \mathbf{P}^{I}_{\mathbf{x}^{\prime}})+\frac{1}{L}\sum_{i=1}^{L}\mathrm{KL}(\mathbf{P}^{S}_{[\mathbf{x},i]}\parallel \mathbf{P}^{S}_{[\mathbf{x}^{\prime},i]}),",where $\mathrm{KL}(\cdot \parallel \cdot)$ denotes the Kullback-Leibler divergence measuring the difference between two probability distributions
2024.acl-short.15,8,"ns.

### Self-distillation

To enhance the stability of alignment at both the representation and prediction levels, we introduce a self-distillation (SD) layer to improve the model's robustness. Self-distillation minimizes KL divergence between the current prediction and the previous one (Yun et al., 2020). Specifically, we denote \(\mathbf{P}^{t}_{\mathbf{x}}\) as the probability distribution of the input \(\mathbf{x}\) predicted by the model at the \(t\)-th epoch, respectively. The whole SD loss \(\mathcal{L}_{\text{SD}}\) is combined with its intent- and slot-specific losses expressed as:","\mathcal{L}_{\text{SD}}=\underbrace{\mathrm{KL}(\mathbf{P}^{[I,t-1]}_{\text{ kT}}||\mathbf{P}^{[I,t]}_{\text{latent SD}})}_{\text{Intent SD}}+\underbrace{\frac{1}{L}\sum_{i=1}^{L}\mathrm{KL}( \mathbf{P}^{[S,t-1]}_{[\mathbf{x},i]}||\mathbf{P}^{[S,t]}_{[\mathbf{x},i]}) }_{\text{Slot SD}},","where \(\mathbf{P}^{[I,t]}_{\mathbf{x}}\) denotes the probability distribution of intent, \(\mathbf{P}^{[S,t]}_{[\mathbf{x},i]}\) of slot at \(i\)-th token","\mathcal{L}_{\text{SD}}=\underbrace{\mathrm{KL}(\mathbf{P}^{t}_{\mathbf{x}}|| \mathbf{P}^{t-1}_{\mathbf{x}})}_{\text{Intent SD}}+\underbrace{\mathrm{KL}( \mathbf{P}^{t}_{\mathbf{x}^{\prime}}||\mathbf{P}^{t-1}_{\mathbf{x}^{\prime}} )}_{\text{Slot SD}},","where $\mathrm{KL}(\cdot)$ denotes Kullback-Leibler divergence, and the loss encourages consistency between current and previous predictions for both intent and slot tasks"
2024.acl-short.15,9,"en. Note that \(\mathbf{P}^{[I,0]}_{\mathbf{x}}\) denotes the one-hot vector of the intent label and \(\mathbf{P}^{[S,0]}_{[\mathbf{x},i]}\) denotes the one-hot vector of the slot label.

Finally, we train the proposed RePe with a combination of the proposed objectives jointly:",\mathcal{L}=\mathcal{L}_{I}+\mathcal{L}_{S}+\mathcal{L}_{\text{RLA}}+\mathcal{L} _{\text{PLA}}+\mathcal{L}_{\text{SD}}.,,"\mathcal{L}_{\text{total}} = \mathcal{L}_{I} + \mathcal{L}_{S} + \lambda_{1} \mathcal{L}_{\text{RLA}} + \lambda_{2} \mathcal{L}_{\text{PLA}} + \lambda_{3} \mathcal{L}_{\text{SD}},","where $\lambda_{1}$, $\lambda_{2}$, and $\lambda_{3}$ are hyperparameters that balance the contributions of the representation-level alignment, prediction-level alignment, and self-distillation losses, respectively."
2024.acl-short.16,1,"## 4 AFLoRA: Methodology

**Module Structure.** Inspired by the framework proposed by Kopiczko et al. (2024), we design the LoRA module to encompass four components, namely, the down-projection linear layer (\(lora_{A}\)), the up-projection linear layer (\(lora_{B}\)), and two feature transform vectors (\(s_{d}\), and \(s_{b}\)) placed before and after \(lora_{B}\). However, unlike (Kopiczko et al., 2024), **we keep both the projection matrices (\(lora_{A}\) and \(lora_{B}\)) and vectors trainable at the beginning and keep the rank very low**. The module processes a given input \(X\) through these components to produce an output \(Y\). The complete operation for a layer \(l\) can be described as follows:",Y=W_{0}^{l}X+\Lambda_{b}^{l}B^{l}\Lambda_{d}^{l}A^{l}X,,"\begin{equation}
Y = \sigma\left(X \cdot W + s_{d} \odot \left(lora_{B} \cdot \left(lora_{A} \cdot X\right)\right) + s_{b}\right)
\end{equation}","The output $Y$ is computed by applying a non-linear activation $\sigma$ to the sum of the base transformation $X \cdot W$, the scaled low-rank adaptation, and the bias vector $s_{b}$."
2024.acl-short.16,2,"Here, \(A^{l}\) and \(B^{l}\) are the trainable LoRA tensors of \(lora_{A}^{l}\) and \(lora_{B}^{l}\), respectively. \(\Lambda_{d}\) and \(\Lambda_{b}\) are the vectors of \(s_{d}\), and \(s_{b}\), respectively. \(W_{0}^{l}\) represents the frozen pre-trained weights. We use Kaiming Uniform initialization for \(A^{l}\) and \(B^{l}\), and follow (Kopiczko et al., 2024) to initialize the vectors.

Figure 2: Performance of ELoRA with two different ranks of the frozen projection matrices.

**Adaptive Freezing.** In pruning literature (Han et al., 2015; Molchanov et al., 2019; Zhang et al., 2022; Yin et al., 2024; Kundu et al., 2021, 2022), sensitivity is gauged to reflect weight variability, necessitating consideration of both the weights' magnitudes and their gradients. Small weight values suggest minimal impact, while minor gradient values indicate stability. Taking inspiration from this idea, here we introduce the concept of a ""freezing score"". However, unlike pruning where both magnitude and gradient play a critical role in identifying insignificant weight, we leverage only gradient as a proxy to compute the freezing score. This is because, we assume large magnitude weights with negligible change has the same priority to be frozen as that for small magnitude weights. This score quantifies the degree to which weights vary throughout the training process. Consequently, when the expected changes to the weights become negligible, we may consider them to be frozen, thereby saving computational resources and energy. The following equation describes the freezing score evaluation steps for a low-rank tensor \(A^{l}\).","I_{A^{l}}=|\nabla\mathcal{L}(\mathbf{\theta})|,\overline{T}^{(t)}_{A^{l }}=\beta_{1}\overline{T}^{(t-1)}_{A^{l}}+(1-\beta_{1})I^{(t)}_{A^{l}} || U^{(t)}_{A^{l}}=|I^{(t)}_{A^{l}}-\overline{I}^{(t)}_{A^{l}}|, \overline{U}^{(t)}_{A^{l}}=\beta_{2}\overline{U}^{(t-1)}_{A^{l}}+(1-\beta_{2} )U^{(t)}_{A^{l}} || s^{(t)}_{A^{l}}=mean(\overline{T}^{(t)}_{A^{l}}\circ\overline{U}^{(t)}_{A^{l}})",,\mathcal{F}_{A^{l}} = \frac{1}{T} \sum_{t=1}^{T} \left\| \nabla A^{l}_{t} \right\|_{2}^{2},The freezing score $\mathcal{F}_{A^{l}}$ quantifies the average squared L2 norm of gradients for the LoRA tensor $A^{l}$ over $T$ training steps.
2024.acl-short.16,3,"Here, for each projection tensor at iteration \(t\), we compute a smoothed gradient (\(\overline{T}^{(t)}_{A^{l}}\)) and uncertainly tensor (\(\overline{U}^{(t)}_{A^{l}}\)), as shown in Eq. 2 and 3, respectively. We then evaluate the freezing score \(s^{(t)}_{A^{l}}\), as the mean of the tensor generated via Hadamard product (\(\circ\)) between \(\overline{T}^{(t)}_{A^{l}}\) and \(\overline{U}^{(t)}_{A^{l}}\).

To apply thresholding on the LoRA freezing scores, we use the cubic schedule as (Zhang et al., 2022). In specific, we keep the projection matrices trainable for the initial \(t_{i}\) training steps, and then progressively freeze them by calculating the freezing fraction \(r(t)\) as shown in Eq. 5. Finally, all the projection matrices freeze beyond \(T-t_{f}\) steps. Note, at step \(t\), for a computed freezing fraction \(k\), we freeze the lowest \(k\%\) projection matrices.",r(t)=\{\begin{array}{ll}0&0\leq t<t_{i}\\ 1-(1-\frac{t-t_{i}}{T-t_{i}-t_{f}})^{3}&t_{i}\leq t<T-t_{f}\\ 1&\text{otherwise}\end{array}.,"where \(t\) refers to current #step, \(T\) is the total number of fine-tuning steps","r(t)=\begin{cases} 
0 & \text{if } t < t_i \\
1 - \left(\frac{T - t}{T - t_i}\right)^3 & \text{if } t_i \leq t < T - t_f \\
1 & \text{if } t \geq T - t_f 
\end{cases}","Freezing fraction $r(t)$ calculated using a cubic schedule, determining the proportion of projection matrices to be frozen at training step $t$."
2024.acl-short.20,1,"## 3 DynaSemble

Our goal is to dynamically ensemble \(k\) KGC models \(\mathtt{M}_{\mathtt{i}}\), which may be textual or structure-based, to maximize performance. Each model \(\mathtt{M}_{\mathtt{i}}\) assigns a score \(\mathtt{M}_{\mathtt{i}}(\mathbf{h},\mathbf{r},\mathbf{t})\) to all candidate tails \(\mathbf{t}\in\mathcal{E}\) for query \(\mathbf{q}=(\mathbf{h},\mathbf{r},?)\). These models are trained independently and their parameters are frozen before ensembling. We formulate the ensemble \(\mathtt{E}\) as:","\mathtt{E}(\mathbf{h},\mathbf{r},\mathbf{t})=\sum_{i=1}^{k}\mathbf{w}_{ \mathtt{i}}(\mathtt{q})\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t})","where \(\mathtt{E}(\mathtt{h},\mathbf{r},\mathbf{t})\) is the ensemble score for \(\mathbf{t}\) given query \(\mathtt{q}=(\mathbf{h},\mathbf{r},?)\)","\begin{equation}
\mathtt{E}(\mathbf{h}, \mathbf{r}, \mathbf{t}) = \sum_{i=1}^{k} \alpha_i \cdot \mathtt{M}_i(\mathbf{h}, \mathbf{r}, \mathbf{t})
\end{equation}","The ensemble E combines the scores of k KGC models using learnable weights α_i, where each model's contribution is weighted by its relevance to the query."
2024.acl-short.20,2,"\). We first normalize these scores as described below.

**Normalization:** To bring the distribution of scores assigned by each model \(\mathtt{M}_{\mathtt{i}}\) over all \(\mathbf{t}\in\mathcal{E}\) in the same range for each query, we max-min normalize the scores obtained from all models \(\mathtt{M}_{\mathtt{i}}\) separately:","\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t})\gets\mathtt{M}_ {\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t})-\min_{\mathbf{t}^{\prime}\in \mathcal{E}}\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t}^{\prime}) || \mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t})arrow\frac{ \mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t})}{\max_{t^{\prime}\in \mathcal{E}}\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t}^{\prime})}",,"\mathbf{s}_{\mathtt{i}}(\mathtt{q},\mathbf{t}) = \frac{\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t}) - \min_{\mathbf{t}'\in\mathcal{E}}\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t}')}{\max_{\mathbf{t}'\in\mathcal{E}}\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t}') - \min_{\mathbf{t}'\in\mathcal{E}}\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t}')}.","where $\mathbf{s}_{\mathtt{i}}(\mathtt{q},\mathbf{t})$ is the normalized score for model $\mathtt{M}_{\mathtt{i}}$ and candidate tail $\mathbf{t}$ given query $\mathtt{q}=(\mathbf{h},\mathbf{r},?)$"
2024.acl-short.20,3,"The scores obtained after normalization lie in the range [0,1] for all models. We next describe the simple model used to learn the query-dependent ensemble weights \(\mathtt{w}_{\mathtt{i}}\).

**Model:** We extract the following features from the score distribution of each model \(\mathtt{M}_{\mathtt{i}}\):","\mathtt{f}(\mathtt{M}_{\mathtt{i}},\mathtt{q})=\underset{\mathbf{t}^{\prime} \in\mathcal{E}}{\mathrm{mean}}(\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r}, \mathbf{t}^{\prime}))||\underset{\mathbf{t}^{\prime}\in\mathcal{E}}{\mathrm{ var}}(\mathtt{M}_{\mathtt{i}}(\mathtt{h},\mathbf{r},\mathbf{t}^{\prime}))",,"\mathbf{f}_{\mathtt{i}}(\mathtt{q}) = \left\langle \mu_{\mathtt{i}}(\mathtt{q}), \sigma_{\mathtt{i}}(\mathtt{q}), \text{top}_k\text{score}_{\mathtt{i}}(\mathtt{q}) \right\rangle","where $\mathbf{f}_{\mathtt{i}}(\mathtt{q})$ represents the feature vector for model $\mathtt{M}_{\mathtt{i}}$ and query $\mathtt{q}$, composed of the mean $\mu_{\mathtt{i}}(\mathtt{q})$, standard deviation $\sigma_{\mathtt{i}}(\mathtt{q})$, and top-k scores of the normalized scores for $\mathtt{M}_{\mathtt{i}}$ over all $\mathbf{t} \in \mathcal{E}$"
